Relay,Code,ISP,Nips,Version,Price,Link,Events/h,Ping
030939.xyz,CA,"Cloudflare, Inc.","[1,2,4,5,9,11,12,15,16,17,20,22,33,40]",3.17.14,,,0,⛔
140.f7z.io,GB,The Constant Company,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-7-g7196547,,,0,⛔
21ideas.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,21000,link,0,379ms.
adeptus.cwharton.com,US,"Comcast Cable Communications, LLC","[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.13,,,0,⛔
adre.su,RU,TimeWeb Ltd.,"[1,2,4,9,11,20,22,28,40,70]",0.9.7,,,2,448ms.
af.purplerelay.com,ZA,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v403-cc86272,,,14,529ms.
agentorange.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,10000,link,0,1100ms.
airchat.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,407ms.
alru07.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,724ms.
antisocial.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,618ms.
aplaceinthesun.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,909ms.
art.nostrfreaks.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,615ms.
articles.layer3.news,US,"Amazon.com, Inc.","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6-26-gc0dec7c,,,500,414ms.
at.nostrworks.com,AT,ANX,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,5000000,link,1,201ms.
auth.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,396ms.
beta.nostril.cam,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,1000000,link,0,⛔
bevo.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,,,0,558ms.
bitcoiner.social,US,IncogNET LLC,"[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,500,519ms.
bitcoinmaximalists.online,DE,myLoc managed IT AG,"[1,2,4,9,11,12,15,16,20,22,28,33,40]",2.0.0,10000000,link,1,159ms.
bitstack.app,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,26,28,33,40]",1.25.2,6942000,link,0,572ms.
blowater.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,⛔
bostr.bitcointxoko.com,IS,1984 ehf,"[1,2,4,9,11,12,15,16,20,22,28,33,40,42,50]",3.0.10,,,2075,346ms.
bostr.cx.ms,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.10,,,0,517ms.
bostr.erechorse.com,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.7-1,,,0,858ms.
bostr.freespeech.casa,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",,,,0,⛔
bostr.lecturify.net,FR,OVH SAS,"[1,2,9,11,12,15,16,20,22,33,40]",dev,,,0,⛔
bostr.lightningspore.com,US,"Amazon.com, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.1,,,1330,678ms.
bostr.nokotaro.com,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,50]",3.0.1,,,0,⌛
bostr.nokotaro.work,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,50]",3.0.1,,,0,⌛
bostr.online,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.7-1,,,0,726ms.
bostr.orangesync.tech,DE,Contabo GmbH,"[1,2,9,11,12,15,16,20,22,33,40]",,,,0,236ms.
bostr.syobon.net,GB,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",,,,500,939ms.
bouncer.minibolt.info,CA,"Cloudflare, Inc.","[1,2,9,11,12,15,16,20,22,33,40,42,50]",3.0.10,,,1914,222ms.
bouncer.rebelbase.social,BE,OVH SAS,"[1,2,9,11,12,15,16,20,22,33,40]",,,,0,⛔
br.purplerelay.com,BR,Amazon Technologies Inc.,"[1,2,4,9,11,12,16,20,22,28,33,40]",v401-1086645,,,11,754ms.
brainstorm.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40,42]",0.9.6,4096000,link,0,391ms.
brisceaux.com,US,"Akamai Technologies, Inc.","[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,3,492ms.
btc.klendazu.com,ES,Telefonica de Espana SAU,"[1,2,9,11,12,15,16,20,22,33,40,42]",0.8.9,,,9,220ms.
carlos-cdb.top,US,The Constant Company,"[1,2,9,11,12,15,16,20,22,33,40]",0.8.13,,,15,811ms.
cc3d.nostr1.com,US,"Nubes, LLC","[1,2,4,9,11,12,16,20,22,28,33,40]",0.9.6,,,0,373ms.
cellar.nostr.wine,CA,"Cloudflare, Inc.","[1,2,4,9,11,12,15,16,20,22,28,33]",0.1.2,,link,0,631ms.
cfr.czas.xyz,CA,"Cloudflare, Inc.","[1,2,5,9,11,12,16,33,42,45,50,95,96]",0.0.2,,,0,⛔
